日付,始値,高値,安値,終値,出来高,売買代金
2008-12-30,160.00,162.00,159.00,162.00,4138000,663815000
2008-12-29,156.00,161.00,156.00,160.00,8315000,1320227000
2008-12-26,157.00,158.00,153.00,158.00,6319000,985711000
2008-12-25,157.00,158.00,155.00,157.00,3051000,478168000
2008-12-24,156.00,157.00,154.00,156.00,5388000,838501000
2008-12-22,156.00,161.00,156.00,158.00,8063000,1280766000
2008-12-19,156.00,158.00,154.00,155.00,5925000,923894000
2008-12-18,154.00,158.00,154.00,157.00,12007000,1871315000
2008-12-17,161.00,162.00,150.00,154.00,15280000,2368072000
2008-12-16,159.00,162.00,158.00,160.00,7296000,1170031000
2008-12-15,158.00,162.00,157.00,162.00,6565000,1055514000
2008-12-12,158.00,163.00,153.00,155.00,14310000,2252303000
2008-12-11,158.00,163.00,157.00,163.00,7606000,1220244000
2008-12-10,156.00,163.00,155.00,161.00,10412000,1670413000
2008-12-09,162.00,163.00,157.00,160.00,8900000,1423192000
2008-12-08,152.00,160.00,151.00,157.00,9947000,1549161000
2008-12-05,151.00,152.00,147.00,148.00,8938000,1335754000
2008-12-04,149.00,152.00,148.00,150.00,8878000,1329556000
2008-12-03,152.00,153.00,148.00,149.00,12227000,1832016000
2008-12-02,155.00,155.00,149.00,150.00,15498000,2353081000
2008-12-01,158.00,164.00,157.00,162.00,11864000,1912657000
2008-11-28,153.00,159.00,150.00,158.00,15382000,2387158000
2008-11-27,153.00,155.00,149.00,151.00,7822000,1189487000
2008-11-26,152.00,156.00,150.00,150.00,8446000,1284955000
2008-11-25,158.00,159.00,151.00,154.00,11787000,1818814000
2008-11-21,135.00,146.00,132.00,145.00,13957000,1927871000
2008-11-20,147.00,147.00,138.00,139.00,13572000,1927883000
2008-11-19,156.00,158.00,150.00,152.00,12677000,1941466000
2008-11-18,153.00,158.00,151.00,155.00,11443000,1783599000
2008-11-17,149.00,157.00,148.00,154.00,10472000,1604594000
2008-11-14,157.00,158.00,147.00,150.00,11718000,1786277000
2008-11-13,150.00,152.00,146.00,148.00,11013000,1637040000
2008-11-12,156.00,158.00,153.00,156.00,10080000,1570271000
2008-11-11,160.00,163.00,156.00,159.00,13921000,2218930000
2008-11-10,160.00,167.00,159.00,162.00,14387000,2342671000
2008-11-07,151.00,156.00,149.00,154.00,16974000,2587830000
2008-11-06,163.00,164.00,158.00,161.00,14007000,2266945000
2008-11-05,167.00,173.00,166.00,172.00,17941000,3036688000
2008-11-04,161.00,163.00,159.00,161.00,14645000,2358339000
2008-10-31,155.00,161.00,151.00,156.00,16946000,2658448000
2008-10-30,140.00,161.00,139.00,153.00,24870000,3788445000
2008-10-29,152.00,152.00,133.00,139.00,26548000,3781664000
2008-10-28,124.00,138.00,119.00,135.00,23332000,2990423000
2008-10-27,128.00,138.00,120.00,121.00,21063000,2715926000
2008-10-24,141.00,142.00,131.00,133.00,16738000,2292425000
2008-10-23,146.00,147.00,140.00,146.00,21232000,3036795000
2008-10-22,158.00,159.00,151.00,151.00,12786000,1973940000
2008-10-21,168.00,170.00,163.00,163.00,19257000,3186941000
2008-10-20,163.00,163.00,154.00,159.00,23074000,3653528000
2008-10-17,164.00,166.00,150.00,154.00,18059000,2837207000
2008-10-16,151.00,157.00,151.00,154.00,18500000,2849861000
2008-10-15,171.00,173.00,165.00,170.00,15575000,2631069000
2008-10-14,181.00,183.00,173.00,181.00,25231000,4489755000
2008-10-10,142.00,155.00,138.00,151.00,30659000,4502020000
2008-10-09,171.00,174.00,163.00,165.00,38121000,6425546000
2008-10-08,173.00,178.00,165.00,166.00,23589000,4028717000
2008-10-07,174.00,185.00,173.00,183.00,36702000,6583041000
2008-10-06,196.00,197.00,183.00,189.00,18395000,3452221000
2008-10-03,201.00,207.00,198.00,200.00,27143000,5488113000
2008-10-02,216.00,217.00,202.00,206.00,22538000,4658386000
2008-10-01,221.00,221.00,214.00,215.00,22507000,4881835000
2008-09-30,200.00,212.00,198.00,207.00,17016000,3499091000
2008-09-29,216.00,222.00,213.00,215.00,13539000,2929740000
2008-09-26,231.00,232.00,214.00,216.00,16578000,3666345000
2008-09-25,230.00,231.00,223.00,228.00,12047000,2736814000
2008-09-24,226.00,238.00,225.00,236.00,14868000,3444580000
2008-09-22,243.00,243.00,233.00,233.00,11769000,2790638000
2008-09-19,219.00,230.00,219.00,228.00,20698000,4684014000
2008-09-18,207.00,213.00,205.00,211.00,16886000,3512707000
2008-09-17,226.00,227.00,218.00,219.00,13316000,2951593000
2008-09-16,225.00,225.00,218.00,221.00,18596000,4114068000
2008-09-12,232.00,237.00,229.00,236.00,15180000,3534705000
2008-09-11,232.00,235.00,227.00,227.00,13605000,3142399000
2008-09-10,230.00,236.00,229.00,233.00,11643000,2710630000
2008-09-09,250.00,250.00,238.00,239.00,14235000,3455111000
2008-09-08,245.00,253.00,245.00,252.00,13742000,3428436000
2008-09-05,228.00,238.00,227.00,235.00,16757000,3908164000
2008-09-04,249.00,250.00,240.00,241.00,18811000,4586972000
2008-09-03,259.00,261.00,250.00,254.00,20617000,5244537000
2008-09-02,259.00,266.00,254.00,255.00,20531000,5353330000
2008-09-01,261.00,263.00,259.00,259.00,10154000,2645508000
2008-08-29,259.00,264.00,258.00,264.00,15352000,4004203000
2008-08-28,258.00,258.00,252.00,254.00,9258000,2351284000
2008-08-27,254.00,257.00,253.00,255.00,10221000,2608090000
2008-08-26,252.00,254.00,248.00,254.00,16064000,4053284000
2008-08-25,262.00,263.00,257.00,257.00,11843000,3068169000
2008-08-22,261.00,262.00,258.00,258.00,7713000,2003173000
2008-08-21,262.00,263.00,258.00,261.00,14691000,3831475000
2008-08-20,256.00,261.00,254.00,259.00,20774000,5352506000
2008-08-19,263.00,264.00,258.00,260.00,14946000,3884602000
2008-08-18,261.00,271.00,259.00,267.00,23675000,6311622000
2008-08-15,262.00,265.00,260.00,263.00,11102000,2911249000
2008-08-14,265.00,272.00,264.00,266.00,16180000,4343260000
2008-08-13,263.00,268.00,261.00,265.00,16555000,4379648000
2008-08-12,271.00,272.00,264.00,264.00,17314000,4626929000
2008-08-11,278.00,279.00,269.00,271.00,19846000,5399292000
2008-08-08,271.00,280.00,267.00,275.00,13137000,3601210000
2008-08-07,283.00,283.00,272.00,275.00,17180000,4749372000
2008-08-06,280.00,285.00,277.00,285.00,13948000,3929425000
2008-08-05,278.00,282.00,271.00,273.00,16365000,4497180000
2008-08-04,295.00,296.00,280.00,282.00,20536000,5860516000
2008-08-01,304.00,307.00,295.00,297.00,20792000,6249094000
2008-07-31,302.00,311.00,296.00,308.00,32004000,9720795000
2008-07-30,299.00,301.00,298.00,300.00,15739000,4716847000
2008-07-29,292.00,296.00,290.00,295.00,17134000,5008216000
2008-07-28,298.00,301.00,296.00,299.00,14483000,4330564000
2008-07-25,299.00,299.00,295.00,295.00,13667000,4053794000
2008-07-24,300.00,306.00,298.00,304.00,16965000,5121392000
2008-07-23,292.00,299.00,291.00,296.00,13945000,4122451000
2008-07-22,284.00,290.00,281.00,289.00,14690000,4193776000
2008-07-18,291.00,291.00,279.00,280.00,15153000,4321871000
2008-07-17,286.00,289.00,283.00,286.00,11607000,3315150000
2008-07-16,284.00,287.00,276.00,280.00,18924000,5295457000
2008-07-15,293.00,294.00,284.00,286.00,18161000,5230437000
2008-07-14,288.00,302.00,288.00,296.00,19195000,5680118000
2008-07-11,287.00,291.00,283.00,287.00,17637000,5067678000
2008-07-10,284.00,289.00,282.00,288.00,29076000,8303218000
